u11,u21,u12,u22,theta(2),alpha(2),beta(2)
6,6,6,6,"(-1.5708,0)","(0.785398,2.13833)","(-0.785398,2.13833)"
6,6,6,5.5,"(-1.5708,0)","(0.785398,2.13833)","(-0.828849,2.09672)"
6,6,6,3.5,"(-1.5708,0)","(0.785398,2.13833)","(-1.04272,1.9382)"
6,6,6,3,"(-1.5708,0)","(0.785398,2.13833)","(-1.10715,1.90333)"
6,6,6,2.5,"(-1.5708,0)","(0.785398,2.13833)","(-1.17601,1.8718)"
6,6,6,2,"(-1.5708,0)","(0.785398,2.13833)","(-1.24905,1.84444)"
6,6,6,1,"(-1.5708,0)","(0.785398,2.13833)","(-1.40565,1.80546)"
6,6,6,0.5,"(-1.5708,0)","(0.785398,2.13833)","(-1.48766,1.79522)"
6,6,6,0,"(-1.5708,0)","(0.785398,2.13833)","(-1.5708,1.79176)"
6,6,5.5,5.5,"(-1.6577,0)","(0.828849,2.09672)","(-0.828849,2.09672)"
6,6,5.5,5,"(-1.6577,0)","(0.828849,2.09672)","(-0.876058,2.05544)"
6,6,5.5,4.5,"(-1.6577,0)","(0.828849,2.09672)","(-0.927295,2.0149)"
6,6,5.5,4,"(-1.6577,0)","(0.828849,2.09672)","(-0.982794,1.97562)"
6,6,5.5,3.5,"(-1.6577,0)","(0.828849,2.09672)","(-1.04272,1.9382)"
6,6,5.5,2.5,"(-1.6577,0)","(0.828849,2.09672)","(-1.17601,1.8718)"
6,6,5.5,2,"(-1.6577,0)","(0.828849,2.09672)","(-1.24905,1.84444)"
6,6,5.5,1,"(-1.6577,0)","(0.828849,2.09672)","(-1.40565,1.80546)"
6,6,5.5,0.5,"(-1.6577,0)","(0.828849,2.09672)","(-1.48766,1.79522)"
6,6,5,6,"(-1.75212,0)","(0.876058,2.05544)","(-0.785398,2.13833)"
6,6,5,5.5,"(-1.75212,0)","(0.876058,2.05544)","(-0.828849,2.09672)"
6,6,5,5,"(-1.75212,0)","(0.876058,2.05544)","(-0.876058,2.05544)"
6,6,5,4,"(-1.75212,0)","(0.876058,2.05544)","(-0.982794,1.97562)"
6,6,5,3.5,"(-1.75212,0)","(0.876058,2.05544)","(-1.04272,1.9382)"
6,6,5,2.5,"(-1.75212,0)","(0.876058,2.05544)","(-1.17601,1.8718)"
6,6,5,2,"(-1.75212,0)","(0.876058,2.05544)","(-1.24905,1.84444)"
6,6,5,1.5,"(-1.75212,0)","(0.876058,2.05544)","(-1.32582,1.82207)"
6,6,5,0.5,"(-1.75212,0)","(0.876058,2.05544)","(-1.48766,1.79522)"
6,6,4.5,4.5,"(-1.85459,0)","(0.927295,2.0149)","(-0.927295,2.0149)"
6,6,4.5,3,"(-1.85459,0)","(0.927295,2.0149)","(-1.10715,1.90333)"
6,6,4.5,1,"(-1.85459,0)","(0.927295,2.0149)","(-1.40565,1.80546)"
6,6,4.5,0.5,"(-1.85459,0)","(0.927295,2.0149)","(-1.48766,1.79522)"
6,6,4.5,0,"(-1.85459,0)","(0.927295,2.0149)","(-1.5708,1.79176)"
6,6,4,5.5,"(-1.96559,0)","(0.982794,1.97562)","(-0.828849,2.09672)"
6,6,4,4,"(-1.96559,0)","(0.982794,1.97562)","(-0.982794,1.97562)"
6,6,4,3,"(-1.96559,0)","(0.982794,1.97562)","(-1.10715,1.90333)"
6,6,4,1.5,"(-1.96559,0)","(0.982794,1.97562)","(-1.32582,1.82207)"
6,6,4,1,"(-1.96559,0)","(0.982794,1.97562)","(-1.40565,1.80546)"
6,6,4,0.5,"(-1.96559,0)","(0.982794,1.97562)","(-1.48766,1.79522)"
6,6,4,0,"(-1.96559,0)","(0.982794,1.97562)","(-1.5708,1.79176)"
6,6,3.5,3.5,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-1.04272,1.9382)"
6,6,3.5,3,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-1.10715,1.90333)"
6,6,3.5,2.5,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-1.17601,1.8718)"
6,6,3.5,1.5,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-1.32582,1.82207)"
6,6,3.5,1,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-1.40565,1.80546)"
